id,text,lat,lon,sector,method
3004,Queen's Drive,55.9515,-3.1664,Craigentinny/Duddingston,exact
3006,Lasswade,55.8834098,-3.1141952,Liberton/Gilmerton,nearest(0.014471)
3008,Rockville,56.016483,-2.72457,Outer Scotland,outside
3275,York Lodge,55.977335,-3.202646,Forth,exact
3314,Lord Nelson,55.9738045,-3.1858283,Leith,exact
3320,Parliament Square,55.9495,-3.1902,Old Town,exact
3429,Broughton,55.9614308,-3.1873332,Leith,exact
3567,National Monument,55.9549011,-3.1820043,New Town,nearest(0.002104)
3571,Craigmillar Castle,55.9256551,-3.1407527,Portobello/Craigmillar,exact
3574,Crown Room,55.948182,-3.199372,Old Town,exact
3581,Castle Hill,55.9489,-3.1954,Old Town,exact
3583,Netherbow,55.950621,-3.184278,Old Town,exact
3588,Baxter's Close,55.949496,-3.193648,Old Town,exact
3595,Dunbar's Close,55.951718,-3.17879,Canongate,exact
3596,Anchor Close,55.950306,-3.189765,Old Town,exact
3597,Strichen's Close,55.950159,-3.186398,Old Town,exact
3601,Abbey Sanctuary,55.952857,-3.173892,Canongate,exact
3605,Holyrood Chapel,55.948675,-3.191156,Old Town,exact
3613,Rosslyn Chapel,55.8554078,-3.160139,Liberton/Gilmerton,nearest(0.033744)
3621,George Square,55.943878,-3.190096,South Central,nearest(0.000256)
3663,Municipal Buildings,55.892902,-3.071869,Liberton/Gilmerton,nearest(0.020241)
3664,Martyrs' Monument,55.9475111,-3.1927863,Old Town,exact
3715,Douglas House,55.951187,-3.220957,Inverleith,exact
3723,Crichton Castle,55.839474,-2.991563,Liberton/Gilmerton,nearest(0.116312)
3725,Moorfoot,55.758855,-3.119389,Outer Scotland,outside
3728,Nether Hill,55.9425607,-3.1620707,Craigentinny/Duddingston,exact
3730,David's Tower,55.948309,-3.199216,Old Town,exact
3731,Pentland,55.872455,-3.184187,Pentlands,nearest(0.019523)
3861,Fisher's Tryst,55.8492587,-3.2007984,Pentlands,nearest(0.034128)
3870,Pleasance,55.9482,-3.1821,Old Town,exact
3909,Newlands,55.888794,-2.690644,Outer Scotland,outside
3918,Simon Square,55.9449,-3.1827,South Central,exact
3919,Nicolson Square,55.9459,-3.1863,South Central,exact
3937,Lugton,55.896145,-3.081218,Liberton/Gilmerton,nearest(0.010360)
3938,Mission School,55.943014,-3.181856,South Central,exact
3943,Pleasance,55.9457,-3.1815,South Central,exact
3944,Arthur Street,55.9652,-3.1776,Leith,exact
3951,Samson's Ribs,55.9400959,-3.1641412,Craigentinny/Duddingston,exact
3952,Duddingstone Loch,55.9410761,-3.1502924,Craigentinny/Duddingston,exact
3955,Rankeillor Street,55.9426,-3.1809,South Central,exact
3962,Simon Square,55.944811,-3.181911,South Central,exact
3963,Lochend,55.9621503,-3.157605,Craigentinny/Duddingston,exact
3970,South Side,55.9385275,-3.1736702,South Central,exact
3974,Gilmerton,55.9061733,-3.1350085,Liberton/Gilmerton,exact
3975,The Pleasance,56.006643,-2.866744,Portobello/Craigmillar,nearest(0.214486)
3982,Morrison Street,55.9462,-3.2155,South West,nearest(0.000582)
3984,Melville Street,55.95,-3.2131,Inverleith,nearest(0.002313)
4000,Princes Street Station,55.949337,-3.208071,New Town,nearest(0.001327)
4040,Kirklands,55.9337,-3.2876,Western Edinburgh,exact
4052,High Park,55.9588126,-3.3282508,Almond,exact
4098,Sciennes,55.9377415,-3.1886981,South Central,exact
4099,Bell's Wynd,55.949776,-3.188788,Old Town,exact
4106,Kirk Loan,55.942286,-3.281166,Western Edinburgh,exact
4138,Gifford Park,55.942,-3.1831,South Central,exact
4167,Haymarket,55.9462,-3.2172,South West,nearest(0.000911)
4177,Black Hill,55.8549326,-3.2982874,Pentlands,nearest(0.006951)
4182,Cramond Island,55.994752,-3.291174,Almond,exact
4188,Scott's Close,55.948144,-3.190339,Old Town,exact
4189,Nether Bow,55.950621,-3.184278,Old Town,exact
4190,Tollcross,55.9444904,-3.2035205,South West,nearest(0.003199)
4193,Barclay Church,55.940415,-3.203455,South Central,nearest(0.000783)
4194,Greyfriars Kirk,55.9466769,-3.1926782,Old Town,exact
4430,Corstorphine Hill,55.952339,-3.282715,Western Edinburgh,exact
4432,Drumsheugh Gardens,55.9511806,-3.2159617,Inverleith,nearest(0.000125)
4440,Comely Bank,55.9596268,-3.2188497,Inverleith,exact
4447,Cramond Bridge,55.964429,-3.317991,Almond,exact
4451,London Road,55.955261,-3.150517,Craigentinny/Duddingston,exact
4453,The Auld Hoose,55.9435016,-3.1802683,South Central,exact
4501,Warrender Park Terrace,55.9393,-3.1983,South Central,exact
4503,St. Giles's Cathedral,55.9493396,-3.1905294,Old Town,exact
4526,The Lindens,55.93041,-3.506769,Outer Scotland,outside
4556,Agricultural Hall,55.941409,-3.202877,South Central,nearest(0.001175)
4562,Maybury,55.9418558,-3.3195986,Western Edinburgh,exact
4616,The Town House,55.9410318,-3.2086108,South Central,nearest(0.000303)
4696,Freemasons' Hall,55.952276,-3.202478,New Town,exact
4725,Blackburn,55.876219,-3.632658,Outer Scotland,outside
4737,Regent Terrace,55.9546,-3.1766,Canongate,nearest(0.001171)
4738,Jock's Lodge,55.9551513,-3.1497023,Craigentinny/Duddingston,exact
4847,Burns Monument,55.9534904,-3.1782952,Canongate,nearest(0.000269)
4908,Tree of Knowledge,55.9403956,-3.2150761,South West,exact
4930,Board School,55.947279,-3.205365,New Town,nearest(0.001631)
4946,South Clerk Street,55.94,-3.1802,South Central,exact
4968,Abercromby Place,55.9566,-3.1961,New Town,exact
5107,Park Road,55.9785,-3.1963,Forth,exact
5111,Charles Street,55.9447,-3.1878,South Central,exact
5152,Royal Infirmary of Edinburgh,55.921925,-3.135095,Liberton/Gilmerton,exact
5169,Newbattle Abbey,55.880649,-3.070524,Liberton/Gilmerton,nearest(0.028159)
5170,Melville Castle,55.894469,-3.091917,Liberton/Gilmerton,nearest(0.005316)
5185,Royal College of Physicians,55.954896,-3.196473,New Town,exact
5187,Gillespie's Hospital,55.940094,-3.204982,South Central,nearest(0.000799)
5188,Royal Society of Edinburgh,55.953386,-3.196522,New Town,exact
5195,Hermitage of Braid,55.9193911,-3.1912338,South Central,exact
5203,Rutland Square,55.948988,-3.2090231,New Town,nearest(0.002011)
5218,Marlborough Street,55.9529,-3.1104,Portobello/Craigmillar,exact
5219,William Street,55.9491,-3.2131,Inverleith,nearest(0.003167)
5235,Canon Street,55.962,-3.1984,Inverleith,exact
5314,Bay of Bengal,55.9497825,-3.189168,Old Town,exact
5346,Bowling Green,55.9734,-3.1782,Leith,exact
5359,Signet Library,55.949139,-3.191539,Old Town,exact
5361,Midlothian,55.833333,-3.083333,Liberton/Gilmerton,nearest(0.066992)
5362,The Old Tolbooth,55.949616,-3.191541,Old Town,exact
5559,Queen's Road,55.9589,-3.248,Inverleith,exact
5656,Netherbow Port,55.950621,-3.184278,Old Town,exact
5713,Croft-An-Righ,55.9545,-3.1715,Craigentinny/Duddingston,nearest(0.000336)
5714,Silvermills,55.9593,-3.2041,Inverleith,exact
5726,Redford,55.9082164,-3.2464447,Pentlands,exact
5741,Seafield,55.9657155,-3.1401622,Craigentinny/Duddingston,exact
5777,Horse Wynd,55.9522,-3.1739,Canongate,exact
5821,Greenlaw,55.897965,-2.814456,Outer Scotland,outside
6049,Inch House,55.924991,-3.158966,South Central,exact
6118,Inveresk,55.935359,-3.032894,Portobello/Craigmillar,nearest(0.043050)
6119,Abbeyhill,55.9517911,-3.1736045,Canongate,exact
6179,Rutland Hotel,55.9498559,-3.207907,New Town,nearest(0.000784)
6194,Abbey Hotel,55.9567428,-3.1799413,Leith,nearest(0.001146)
6202,Abercorn,55.989794,-3.484182,Outer Scotland,outside
6213,Old Bank,55.957363,-2.775982,Outer Scotland,outside
6240,Surgeons' Hall,55.946741,-3.184916,South Central,exact
6244,Gladstone Terrace,55.9387,-3.1853,South Central,exact
6246,Palmerston Place,55.9483,-3.217,Inverleith,nearest(0.002902)
6253,East Mayfield,55.9344,-3.1714,South Central,exact
